item-db  | 2023-05-27T08:12:38.661+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=1c2a9a42699a
item-db  | 2023-05-27T08:12:38.662+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db  | 2023-05-27T08:12:38.662+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db  | 2023-05-27T08:12:38.662+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db  | 2023-05-27T08:12:38.662+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db  | 2023-05-27T08:12:38.662+0000 I CONTROL  [initandlisten] modules: none
item-db  | 2023-05-27T08:12:38.662+0000 I CONTROL  [initandlisten] build environment:
item-db  | 2023-05-27T08:12:38.662+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db  | 2023-05-27T08:12:38.662+0000 I CONTROL  [initandlisten]     distarch: aarch64
item-db  | 2023-05-27T08:12:38.662+0000 I CONTROL  [initandlisten]     target_arch: aarch64
item-db  | 2023-05-27T08:12:38.662+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db  | 2023-05-27T08:12:38.662+0000 I STORAGE  [initandlisten] 
item-db  | 2023-05-27T08:12:38.662+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db  | 2023-05-27T08:12:38.662+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db  | 2023-05-27T08:12:38.662+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1454M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db  | 2023-05-27T08:12:38.693+0000 I STORAGE  [initandlisten] WiredTiger message [1685175158:693428][1:0xffff80843000], txn-recover: Set global recovery timestamp: 0
item-db  | 2023-05-27T08:12:38.709+0000 I CONTROL  [initandlisten] 
item-db  | 2023-05-27T08:12:38.709+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db  | 2023-05-27T08:12:38.709+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db  | 2023-05-27T08:12:38.709+0000 I CONTROL  [initandlisten] 
item-db  | 2023-05-27T08:12:38.709+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: 5e93f859-8479-44f7-b51f-9f18e16e0ce5
item-db  | 2023-05-27T08:12:38.717+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
item-db  | 2023-05-27T08:12:38.718+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 1f006ef2-89f6-4217-8272-2953b66e4154
item-db  | 2023-05-27T08:12:38.731+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db  | 2023-05-27T08:12:38.731+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db  | 2023-05-27T08:12:38.731+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db  | 2023-05-27T08:12:38.731+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db  | 2023-05-27T08:12:38.732+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 64b29be7-6a06-4056-b72c-3b9117e76393
item-db  | 2023-05-27T08:12:38.749+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
item-db  | 2023-05-27T08:12:38.749+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
item-db  | 2023-05-27T08:12:38.749+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
item-db  | 2023-05-27T08:12:39.179+0000 I NETWORK  [listener] connection accepted from 192.168.224.3:54588 #1 (1 connection now open)
item-db  | 2023-05-27T08:12:39.184+0000 I NETWORK  [conn1] received client metadata from 192.168.224.3:54588 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "arm64", version: "5.10.104-linuxkit" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-app  | 
item-app  | > docker-software-delivery@1.0.0 start /app
item-app  | > node ./bin/www
item-app  | 
item-app  | NODE_ENV: production
item-app  | Connected to database
